Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
296,Cameron Brate,TB,TE,48.5,16,3,TB,30, 6-5,Harvard,7
297,Josh Johnson,BAL,QB,48.4,4,12.1,"TB, CLE, CIN, SF, BUF, NYG, HOU, WAS, DET, BAL",35, 6-2,San Diego,7
298,Derrick Gore,KC,RB,48.1,8,6,"WAS, LAC, KC",27, 5-10,Louisiana-Monroe,1
299,Jerry Jeudy,DEN,WR,47,10,4.7,DEN,22, 6-1,Alabama,2
300,Mack Hollins,MIA,WR,46.3,16,2.9,"PHI, MIA",28, 6-4,North Carolina,5
301,Jaret Patterson,WAS,RB,45.9,14,3.3,WAS,22, 5-9,Buffalo,0
302,Travis Homer,SEA,RB,45.8,14,3.3,SEA,23, 5-10,Miami,3
303,Jeremy McNichols,TEN,RB,45.6,13,3.5,"SF, TEN, JAC",26, 5-9,Boise State,2
304,Jalen Reagor,PHI,WR,45.1,17,2.7,PHI,23, 5-11,TCU,2
305,Rodrigo Blankenship,IND,K,45,5,9,IND,25, 6-1,Georgia,2
306,Danny Amendola,HOU,WR,44.8,8,5.6,"LAR, NE, MIA, DET, HOU",36, 5-11,Texas Tech,13
307,Damien Williams,CHI,RB,44.7,12,3.7,"MIA, KC, CHI",29, 5-11,Oklahoma,7
308,Jeff Wilson Jr.,SF,RB,44.5,9,4.9,SF,26, 6-0,North Texas,4
309,Demarcus Robinson,KC,WR,44.4,15,3,KC,27, 6-1,Florida,6
310,Devin Duvernay,BAL,WR,44.2,16,2.8,BAL,24, 5-11,Texas,2
311,Kyle Juszczyk,SF,RB,43.8,15,2.9,"BAL, SF",30, 6-1,Harvard,9
312,Sammy Watkins,BAL,WR,43.4,11,4,"BUF, LAR, KC, BAL",28, 6-1,Clemson,8
312,Kadarius Toney,NYG,WR,43.4,9,4.8,NYG,23, 6-0,Florida,0
314,Albert Okwuegbunam,DEN,TE,43,14,3.1,DEN,23, 6-5,Missouri,2
315,Chris Conley,HOU,WR,42.6,14,3,"KC, JAC, HOU",29, 6-3,Georgia,7
315,Darius Slayton,NYG,WR,42.6,13,3.3,NYG,25, 6-1,Auburn,3
317,Colt McCoy,ARI,QB,42.3,8,5.3,"CLE, SF, WAS, NYG, ARI",35, 6-1,Texas,12
